茲	兹
脅	脇
鶿	鷀
毘	毗
荊	荆
槩	概
㮣	概
隣	鄰
㰍	櫳
畧	略
緜	綿
夠	够
勗	勖
岧	岹
丟	丢
爭	争
猙	狰
箏	筝
凈	净
睜	睁
靜	静
崢	峥
掙	挣
淨	浄
亙	亘
恆	恒
絚	絙
䱍	䱎
𣈶	暅
產	産
彥	彦
顏	顔
挩	捝
兌	兑
悅	悦
敓	敚
梲	棁
涗	涚
稅	税
脫	脱
蛻	蜕
說	説
銳	鋭
閱	閲
內	内
吶	呐
冊	册
刪	删
柵	栅
姍	姗
別	别
勻	匀
呂	吕
宮	宫
侶	侣
吳	吴
娛	娱
悞	悮
俁	俣
囪	囱
換	换
喚	唤
煥	焕
渙	涣
奐	奂
瘓	痪
奧	奥
粵	粤
嫺	嫻
閒	閑
鷳	鷴
幷	并
強	强
繈	繦
彔	录
綠	緑
祿	禄
淥	渌
錄	録
剝	剥
戶	户
慍	愠
搵	揾
榲	榅
氳	氲
溫	温
熅	煴
縕	緼
膃	腽
蒕	蒀
蘊	藴
轀	輼
醞	醖
鰮	鰛
媼	媪
戩	戬
晉	晋
沒	没
歿	殁
皁	皂
唕	唣
皐	皋
臯	皋
皡	皞
皥	皞
嘷	嗥
噑	嗥
毀	毁
禿	秃
頹	頽
絕	絶
搖	摇
瑤	瑶
謠	謡
遙	遥
虛	虚
噓	嘘
戱	戯
袞	衮
滾	滚
雋	隽
鐫	鎸
檇	槜
麼	麽
嬤	嬷
黃	黄
橫	横
菸	煙
纔	才
曍	皞
溼	濕
鉤	鈎
嘆	歎
罎	罈
甦	蘇
