峯	峰
羣	群
脅	脇
鶿	鷀
毘	毗
荊	荆
槩	概
鄰	隣
㰍	櫳
畧	略
緜	綿
夠	够
勗	勖
岧	岹
覈	核
丟	丢
爭	争
猙	狰
箏	筝
凈	净
睜	睁
靜	静
崢	峥
掙	挣
淨	浄
亙	亘
恆	恒
絚	絙
䱍	䱎
𣈶	暅
產	産
彥	彦
顏	顔
挩	捝
兌	兑
悅	悦
敓	敚
梲	棁
涗	涚
稅	税
脫	脱
蛻	蜕
說	説
銳	鋭
閱	閲
內	内
吶	呐
冊	册
刪	删
柵	栅
姍	姗
別	别
勻	匀
臥	卧
卻	却
腳	脚
𠊬	㑢
敘	叙
漵	溆
呂	吕
宮	宫
侶	侣
吳	吴
娛	娱
悞	悮
俁	俣
囪	囱
換	换
喚	唤
煥	焕
渙	涣
奐	奂
瘓	痪
奧	奥
粵	粤
嫺	嫻
閒	閑
鷳	鷴
屆	届
幷	并
強	强
繈	繦
彔	录
綠	緑
祿	禄
淥	渌
錄	録
剝	剥
戶	户
慍	愠
搵	揾
榲	榅
氳	氲
溫	温
熅	煴
縕	緼
膃	腽
蒕	蒀
蘊	藴
轀	輼
醞	醖
鰮	鰛
戩	戬
晉	晋
沒	没
歿	殁
皁	皂
唕	唣
皐	皋
臯	皋
皡 	皞
皥	皞
嘷	嗥
噑	嗥
廁	厠
廝	厮
廂	厢
廈	厦
毀	毁
殼	殻
獎	奬
稟	禀
凜	凛
廩	廪
𦾰	䕲
懍	懔
檁	檩
禿	秃
頹	頽
絕	絶
搖	摇
瑤	瑶
謠	謡
遙	遥
虛	虚
噓	嘘
戱	戯
袞	衮
滾	滚
雋	隽
鐫	鎸
檇	槜
麼	麽
嬤	嬷
黃	黄
橫	横
欞	櫺
菸	煙
冗	宂
線	綫
勳	勛
跡	迹
甦	蘇
範	笵
纔	才
蟲	虫
檯	臺
讚	贊
剷	鏟
侷	局
桿	杆
稈	秆
趕	赶
稜	棱
梨	棃
犁	犂
曆	歷
奩	籢
樑	梁
瀰	彌
屍	尸
燻	熏
倖	幸
痠	酸
碗	盌
註	注
錶	表
兇	凶
崙	侖
崑	昆
慼	戚
鏚	戚
傢	家
繃	綳
蔴	麻
塗	涂
㾹	柴
騲	草
菢	抱
慾	欲
菓	果
儅	當
燬	毁
譭	毁
滷	鹵
衊	蔑
搧	扇
霑	沾
曍	皞
齧	嚙
鹼	碱
憑	凴
譾	謭
諡	謚
鯗	鮝
愨	慤
豎	竪
繡	綉
鏽	銹
溼	濕
贗	贋
鉤	鈎
鱷	鰐
只	衹
齎	賫
豔	艷
灩	灧
恥	耻
窯	窑
韻	韵
憂	懮
闇	暗
栢	柏
鉋	刨
鑤	刨
闆	板
災	灾
痲	麻
彊	强
嘆	歎
効	效
倣	仿
傚	效
掛	挂
敕	勅
颳	刮
贓	贜
譌	吪
鎚	錘
槌	棰
搥	捶
沉	沈
擣	搗
撢	撣
盪	蕩
弔	吊
鼕	咚
働	動
荳	豆
體	軆
槼	規
鋤	鉏
龢	和
覊	羈
袷	裌
牋	箋
殭	僵
寖	浸
貓	猫
衇	脈
迺	乃
鯰	鮎
孃	娘
箝	鉗
拑	鉗
撳	搇
毬	球
遶	繞
拜	拝
籤	簽
收	収
𢜶	㥰
洩	泄
絏	紲
栧	枻
疎	疏
罎	罈
廕	蔭
擡	抬
釁	衅
棄	弃
鐵	鉄
鬱	欎
壩	垻
處	処
與	与
澱	淀
