_a;_b;_c;_d
峯;峰;上下左右;
羣;群;上下左右;
脅;脇;上下左右;
鶿;鷀;上下左右;
毘;毗;上下左右;
荊;荆;上下左右;
槩;概;上下左右;
鄰;隣;上下左右;
㰍;櫳;上下左右;
畧;略;上下左右;
緜;綿;上下左右;
夠;够;上下左右;
勗;勖;上下左右;
岧;岹;上下左右;
覈;核;同源合併;
丟;丢;新字形;丢
爭;争;新字形;争
猙;狰;新字形;争
箏;筝;新字形;争
凈;净;新字形;争
睜;睁;新字形;争
靜;静;新字形;争
崢;峥;新字形;争
掙;挣;新字形;争
淨;浄;新字形;争
亙;亘;新字形;亘
恆;恒;新字形;亘
絚;絙;新字形;亘
䱍;䱎;新字形;亘
𣈶;暅;新字形;亘
產;産;新字形;产
彥;彦;新字形;产
顏;顔;新字形;产
挩;捝;新字形;兑
兌;兑;新字形;兑
悅;悦;新字形;兑
敓;敚;新字形;兑
梲;棁;新字形;兑
涗;涚;新字形;兑
稅;税;新字形;兑
脫;脱;新字形;兑
蛻;蜕;新字形;兑
說;説;新字形;兑
銳;鋭;新字形;兑
閱;閲;新字形;兑
內;内;新字形;内
吶;呐;新字形;内
冊;册;新字形;册
刪;删;新字形;册
柵;栅;新字形;册
姍;姗;新字形;册
別;别;新字形;别
勻;匀;新字形;匀
臥;卧;新字形;卧
卻;却;新字形;却
腳;脚;新字形;却
𠊬;㑢;新字形;却
敘;叙;新字形;叙
漵;溆;新字形;叙
呂;吕;新字形;吕
宮;宫;新字形;吕
侶;侣;新字形;吕
吳;吴;新字形;吴
娛;娱;新字形;吴
悞;悮;新字形;吴
俁;俣;新字形;吴
囪;囱;新字形;囱
換;换;新字形;奂
喚;唤;新字形;奂
煥;焕;新字形;奂
渙;涣;新字形;奂
奐;奂;新字形;奂
瘓;痪;新字形;奂
奧;奥;新字形;奥
粵;粤;新字形;奥
嫺;嫻;新字形;嫻
閒;閑;新字形;嫻
鷳;鷴;新字形;嫻
屆;届;新字形;届
幷;并;新字形;并
強;强;新字形;强
繈;繦;新字形;强
彔;录;新字形;录
綠;緑;新字形;录
祿;禄;新字形;录
